# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	27102
#@/user_id	1f16c4d4-a41a-4522-b9ab-3db93a4af922
bu kan 	不看	c=2 d=0.336216 t=27102
bu kan ju 	不看劇	c=1 d=0.0407622 t=27102
bu kao 	不靠	c=1 d=8.56853e-07 t=27102
bu kao bei 	不拷貝	c=1 d=3.89885e-08 t=27102
bu kao lv 	部考慮	c=1 d=8.3167e-09 t=27102
bu kao pu 	不靠譜	c=1 d=6.18994e-05 t=27102
bu ke 	不可	c=2 d=1.88113e-05 t=27102
bu ke bian 	不可變	c=6 d=2.93138e-05 t=27102
bu ke neng 	不可能	c=2 d=3.15294e-07 t=27102
bu kuai 	不快	c=0 d=3.4059e-07 t=27102
bu liao 	不了	c=2 d=0.942056 t=27102
bu liao tian 	不聊天	c=1 d=0.0015648 t=27102
bu luo 	部落	c=1 d=0.00319873 t=27102
bu luo fen 	布洛芬	c=2 d=2.93742e-15 t=27102
bu ma fan 	不麻煩	c=1 d=0.000731802 t=27102
bu mai 	不買	c=1 d=5.12057e-09 t=27102
bu mai yan 	不買煙	c=1 d=5.7933e-20 t=27102
bu mian fei 	不免費	c=1 d=1.46303e-06 t=27102
bu ming 	不明	c=1 d=0.19398 t=27102
bu ming que 	不明確	c=1 d=1.10705e-20 t=27102
bu nan 	不難	c=1 d=1.7042e-07 t=27102
bu neng 	不能	c=33 d=0.97531 t=27102
bu neng peng 	不能碰	c=1 d=0.0593087 t=27102
bu neng shuo 	不能說	c=1 d=4.59984e-12 t=27102
bu neng xia zai 	不能下載	c=1 d=2.39553e-13 t=27102
bu neng yong 	不能用	c=1 d=0.0028799 t=27102
bu neng yun xing 	不能運行	c=1 d=0.186374 t=27102
bu nong hao 	不弄好	c=1 d=0.0244775 t=27102
bu pa 	不怕	c=0 d=6.89186e-05 t=27102
bu pa ting shui 	不怕停水	c=1 d=0.00069264 t=27102
bu pei 	不配	c=1 d=1.72221e-13 t=27102
bu pei zhi 	不配置	c=1 d=2.28896e-07 t=27102
bu ping heng 	不平衡	c=1 d=5.43721e-09 t=27102
bu qi guai 	不奇怪	c=1 d=7.87088e-16 t=27102
bu qi lai 	不起來	c=0 d=0.0164343 t=27102
bu qie 	不切	c=0 d=0.00403566 t=27102
bu qie huan 	不切換	c=1 d=0.0405589 t=27102
bu qing 	不清	c=0 d=8.37717e-07 t=27102
bu qu 	不去	c=2 d=1.96979e-05 t=27102
bu quan 	不全	c=1 d=1.39192e-08 t=27102
bu quan 	補全	c=0 d=2.66029e-12 t=27102
bu que ding 	不確定	c=1 d=7.85666e-16 t=27102
bu ran 	不然	c=10 d=0.00128754 t=27102
bu rang 	不讓	c=2 d=9.49258e-06 t=27102
bu rang wo 	不讓我	c=1 d=7.57998e-06 t=27102
bu rang yong 	不讓用	c=1 d=1.52378e-14 t=27102
bu re 	不熱	c=3 d=0.00923273 t=27102
bu re me 	不熱麼	c=1 d=4.22429e-10 t=27102
bu ru 	不如	c=6 d=0.410693 t=27102
bu shang 	不上	c=4 d=0.00704808 t=27102
bu shao 	不少	c=7 d=0.116489 t=27102
bu sheng xiao 	不生效	c=2 d=1.84716 t=27102
bu shi 	不是	c=81 d=0.599879 t=27102
bu shi 	捕食	c=1 d=5.72279e-23 t=27102
bu shi he 	不適合	c=0 d=4.79832e-10 t=27102
bu shi he ni 	不是和你	c=1 d=4.79832e-09 t=27102
bu shi he ni 	不適合你	c=1 d=4.82237e-09 t=27102
bu shi me 	不是麼	c=1 d=0.0193512 t=27102
bu shi wo shuo 	不是我說	c=1 d=1.72966e-05 t=27102
bu shou 	不受	c=1 d=4.55174e-06 t=27102
bu shou ben fen 	不守本分	c=1 d=4.96839e-07 t=27102
bu shu 	部署	c=18 d=1.07103 t=27102
bu shu hou 	部署後	c=1 d=0.474734 t=27102
bu shuang 	不爽	c=2 d=2.8527e-09 t=27102
bu shui 	不睡	c=1 d=0.00177315 t=27102
bu shun 	不順	c=1 d=1.44498e-07 t=27102
bu shuo 	不說	c=0 d=1.30272e-24 t=27102
bu shuo le 	不說了	c=1 d=0.000593188 t=27102
